Id,Name,Price
1,iPhone 15,1499.00
2,MacBook Pro 14,3299.00
3,Sony WH-1000XM5,499.00
4,Logitech MX Master 3S,159.00
5,AirPods Pro 2,399.00
6,Apple Watch Series 9,829.00
7,Kindle Paperwhite,249.00
8,Nintendo Switch OLED,629.00
9,Steam Deck 512GB,1199.00
10,GoPro Hero12,699.00
11,DJI Mini 4 Pro,1499.00
12,Bose QC45,499.00
13,Surface Laptop 5,2399.00
14,ThinkPad X1 Carbon,2999.00
15,Samsung Galaxy S24,1299.00
16,ASUS ROG Strix G16,2199.00
17,LG 34'' Ultrawide Monitor,1399.00
18,Canon EOS R10,1699.00
19,Sandisk 1TB SSD,189.00
20,TP-Link WiFi 6 Router AX55,159.00
